Adjective,Referent
blue,cracker
orange,cracker
white,cracker
orange,cracker
white,cracker
light,cracker
crunchy,cracker
little,cracker
sugary,cracker
square,cracker
crunchy,cracker
little,cracker
crunchy,cracker
big,cracker
black,ice cream
little,ice cream
orange,ice cream
orange,ice cream
pink,ice cream
pink,ice cream
dark,ice cream
good,ice cream
sweet,ice cream
healthy,ice cream
sweet,ice cream
cold,ice cream
favorite,ice cream
blue,ice cream
other,ice cream
cold,ice cream
much,ice cream
becausesome,ice cream
yucky,ice cream
whole,ice cream
yummy,ice cream
whole,ice cream
flat,ice cream
orange,pumpkin
becausea,pumpkin
orange,pumpkin
blue,pumpkin
pumpkin,pumpkin
orange,pumpkin
sweet,pumpkin
pumpkin,pumpkin
pumpkin,pumpkin
orange,pumpkin
big,pumpkin
scary,pumpkin
orange,pumpkin
mean,pumpkin
nice,pumpkin
plain,pumpkin
big,pumpkin
silly,pumpkin
bottom,muffin
orange,muffin
orange,muffin
smallest,muffin
big,muffin
biggest,muffin
little,muffin
allergic,muffin
allergic,muffin
pet,muffin
plain,muffin
areplain,muffin
nuts,muffin
orange,pineapple
black,pineapple
green,pineapple
orange,pineapple
orange,pineapple
green,pineapple
green,pineapple
little,pineapple
pokey,pineapple
pokey,pineapple
brown,pineapple
big,pineapple
little,pineapple
good,pineapple
healthy,pineapple
favorite,carrot
good,carrot
good,carrot
hungry,carrot
last,cake
other,cake
allergic,cake
best,cake
cold,cake
cold,cake
yummy,cake
yummy,cake
orange,orange
little,orange
orange,orange
orange,orange
last,orange
orange,orange
orange,orange
orange,orange
white,orange
orange,orange
black,orange
little,orange
good,orange
long,orange
orange,orange
call-,orange
orange,orange
orange,orange
orange,orange
yummy,orange
sippy,milk
fresh,milk
big,milk
cold,milk
warm,milk
white,milk
only,milk
much,milk
dry,milk
thirsty,milk
everyday,milk
right,milk
healthy,milk
hard,cookie
sweet,cookie
French,bread
good,bread
good,bread
good,bread
good,bread
big,bread
different,pie
other,pie
neat,pie
jelly,pie
good,pie
pumpkin,pie
pumpkin,pie
sweet,pie
pumpkin,pie
pumpkin,pie
healthy,pie
yummy,pie
hard,pie
pumpkin,pie
dirty,banana
whole,banana
whole,banana
good,banana
good,banana
hungry,banana
last,popcorn
last,popcorn
last,popcorn
last,popcorn
okay,popcorn
good,popcorn
sweet,popcorn
more,strawberry
sure,strawberry
red,strawberry
leafs,strawberry
red,strawberry
leafs,strawberry
brown,strawberry
sick,strawberry
black,strawberry
blueberry,strawberry
sweet,strawberry
yummy,strawberry
yummy,strawberry
sweet,strawberry
little,strawberry
little,strawberry
red,strawberry
right,strawberry
right,strawberry
right,strawberry
good,cheese
good,cheese
yellow,cheese
good,cheese
regular,cheese
good,cheese
good,cheese
last,cereal
ex)cept,cereal
different,cereal
other,cereal
last,cereal
First,cereal
different,cereal
other,cereal
Total,cereal
cereal,cereal
much,cereal
dry,cereal
healthy,cereal
yummy,cereal
yummy,cereal
little,corn
fresh,corn
clean,corn
yellow,corn
different,corn
color,corn
indian,corn
Indian,corn
plain,corn
plain,corn
easier,corn
Indian,corn
hardest,corn
Indian,corn
same,corn
different,corn
neat,corn
neat,corn
Indian,corn
Indian,corn
long,corn
big,corn
Indian,corn
Indian,corn
Indian,corn
delicious,corn
yummy,corn
full,corn
right,corn
regular,corn
right,corn
red,corn
black,corn
peel,corn
dead,corn
twisty,pretzel
sugary,pretzel
big,pretzel
little,pretzel
only,pretzel
only,pretzel
good,pretzel
healthy,pretzel
best,pretzel
good,pretzel
cute,pretzel
good,pretzel
sesame,pretzel
sesame,pretzel
sesame,pretzel
crispier,pretzel
good,pretzel
good,pretzel
big,pretzel
big,pretzel
last,broccoli
good,broccoli
big,broccoli
little,broccoli
good,broccoli
other,broccoli
big,broccoli
healthy,broccoli
yummy,broccoli
more,broccoli
green,broccoli
