surfer,king,police officer,weightlifter,clown,witch,pilot,teacher,doctor,baby,baseball player,pirate,old woman,judge,ballerina,firefighter,race car driver,flatten_adj,adj,unique_adj
wet,nice,important,strong,funny,spooky,good,old,good,tiny,nice,mean,old,black,pretty,good,cool,wet,flatten_adj,wet
old,neat,black,strong,cool,green,,old,good,funny,,,old,white,pretty,black,white,nice,wet,nice
,strong,,giant,funny,scary,,,evil,,,,old,mad,pretty,green,black,important,nice,important
,magical,,big,big,scary,,,,,,,old,mean,yellow,white,pink,strong,important,strong
,royal,,strong,silly,scary,,,,,,,old,,black,black,purple,funny,strong,funny
,royal,,tough,funny,,,,,,,,old,,pink,big,purple,spooky,funny,spooky
,alive,,naked,funny,,,,,,,,silver,,black,,,good,spooky,good
,right,,naked,,,,,,,,,green,,pink,,,old,good,old
,alive,,strong,,,,,,,,,black,,red,,,good,old,tiny
,alive,,strong,,,,,,,,,blue,,red,,,tiny,tiny,mean
,dark,,strong,,,,,,,,,blue,,yellow,,,nice,mean,black
,blond,,scary,,,,,,,,,pink,,black,,,mean,black,pretty
,blue,,strong,,,,,,,,,green,,pink,,,old,pretty,cool
,green,,fastest,,,,,,,,,blue,,special,,,black,cool,neat
,green,,faster,,,,,,,,,blue,,different,,,pretty,neat,green
,yellow,,,,,,,,,,,green,,,,,good,green,white
,black,,,,,,,,,,,yellow,,,,,cool,,giant
,,,,,,,,,,,,black,,,,,old,white,scary
,,,,,,,,,,,,grey,,,,,neat,giant,evil
,,,,,,,,,,,,yellow,,,,,black,scary,mad
,,,,,,,,,,,,blue,,,,,strong,evil,magical
,,,,,,,,,,,,yellow,,,,,cool,mad,big
,,,,,,,,,,,,grey,,,,,green,magical,yellow
,,,,,,,,,,,,red,,,,,,big,pink
,,,,,,,,,,,,green,,,,,old,yellow,royal
,,,,,,,,,,,,black,,,,,good,pink,silly
,,,,,,,,,,,,red,,,,,funny,royal,purple
,,,,,,,,,,,,yellow,,,,,,silly,tough
,,,,,,,,,,,,blue,,,,,,purple,alive
,,,,,,,,,,,,pink,,,,,old,tough,naked
,,,,,,,,,,,,light,,,,,white,alive,silver
,,,,,,,,,,,,old,,,,,pretty,naked,right
,,,,,,,,,,,,old,,,,,black,silver,red
,,,,,,,,,,,,special,,,,,white,right,blue
,,,,,,,,,,,,grey,,,,,,red,dark
,,,,,,,,,,,,old,,,,,strong,blue,blond
,,,,,,,,,,,,brown,,,,,,dark,fastest
,,,,,,,,,,,,,,,,,giant,blond,special
,,,,,,,,,,,,,,,,,funny,fastest,faster
,,,,,,,,,,,,,,,,,scary,special,different
,,,,,,,,,,,,,,,,,,faster,grey
,,,,,,,,,,,,,,,,,,different,light
,,,,,,,,,,,,,,,,,evil,grey,brown
,,,,,,,,,,,,,,,,,,light,
,,,,,,,,,,,,,,,,,,brown,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,old,,
,,,,,,,,,,,,,,,,,mad,,
,,,,,,,,,,,,,,,,,pretty,,
,,,,,,,,,,,,,,,,,green,,
,,,,,,,,,,,,,,,,,black,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,magical,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,big,,
,,,,,,,,,,,,,,,,,big,,
,,,,,,,,,,,,,,,,,scary,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,old,,
,,,,,,,,,,,,,,,,,mean,,
,,,,,,,,,,,,,,,,,yellow,,
,,,,,,,,,,,,,,,,,white,,
,,,,,,,,,,,,,,,,,pink,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,royal,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,strong,,
,,,,,,,,,,,,,,,,,silly,,
,,,,,,,,,,,,,,,,,scary,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,old,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,black,,
,,,,,,,,,,,,,,,,,black,,
,,,,,,,,,,,,,,,,,purple,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,royal,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,tough,,
,,,,,,,,,,,,,,,,,funny,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,old,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pink,,
,,,,,,,,,,,,,,,,,big,,
,,,,,,,,,,,,,,,,,purple,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,alive,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,naked,,
,,,,,,,,,,,,,,,,,funny,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,silver,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,black,,
,,,,,,,,,,,,,,,,,,,
