Participant ID,Referent,Speech,Feature,Adjectives
56C-R11,Surfer,,,
56C-R13,1,CHI:        a person surfing.,L+P,
56C-R15,2,CHI:        um surf you surf in the um on the bea- at the beach.,F+L,
56C-R16,3,CHI:        and um when it's really hot in the summer.,F,
56C-R17,4,"CHI:        and you, and you hold your arms out and then on your surfboard.",P,
56C-R71,King,,,
56C-R73,1,CHI:        I don't want to tell you.,I,
56C-R74,2,CHI:        a king or a queen.,L+T,
56C-R104,Police Officer,,,
56C-R106,1,CHI:        a police officer.,L,
56C-R108,2,CHI:        police officers make sure cars don't run into any other cars.,F+L,
56C-R120,Weightlifter,,,
56C-R122,1,CHI:        uh a circus [?] strong man.,L,strong
56C-R130,3,"CHI:        um and, um circus [?] strongmans hold up this bell-bar.",L+P,
56C-R131,4,CHI:        for in order for them to be strong.,F,strong
56C-R140,Farmer,,,
56C-R143,1,CHI:        it's it's a maid.,L,
56C-R145,2,CHI:        it's a farmer-a f-maid farmer.,L,
56C-R147,3,CHI:        I'm I'm spying her in my her in my telescope.,I,
56C-R151,6,CHI:        uh farmers plant stuff.,F+L,
56C-R152,7,CHI:        and so do maids.,T,
56C-R153,8,CHI:        and maids go out and pick their own food.,T,
56C-R154,9,CHI:        and farmers grow their own food and then pick them.,F+L,
56C-R155,10,"CHI:        that's all I know, about everything.",I,
70C-R1,Clown (B),Speech,,
70C-R3,1,CHI:        a clown.,L,
70C-R5,2,CHI:        uh he wears clothes.,P,
70C-R6,3,CHI:        and he's funny.,F,funny
70C-R11,4,"CHI:        um, he likes to give people presents.",F,
70C-R13,Witch,,,
70C-R15,1,CHI:        a witch.,L,
70C-R17,2,"CHI:        um, she has a cat.",F,
70C-R19,4,CHI:        and she has a broom to fly on.,P,
70C-R20,5,"CHI:        and, she she's a spooky girl.",F,spooky
70C-R43,Pilot,,,
70C-R45,1,"CHI:        mm, I don't know what this is.",I,
70C-R49,3,"CHI:        uh, he's uh getting on.",F,
70C-R50,4,"CHI:        and he, he, and he's the engine.",L,
70C-R51,5,"CHI:        and, he drives the train.",F,
70C-R95,Football Player,,,
70C-R96,1,CHI:        a football player.,L,
70C-R97,2,CHI:        he has a football.,P,
70C-R98,3,"CHI:        and he, and maybe he will win.",F,
70C-R100,Teacher,,,
70C-R102,1,CHI:        a teacher.,L,
70C-R103,2,CHI:        she teaches kids.,F,
22C-R47,Doctor,,,
22C-R48,1,CHI: a doctor.,L,
22C-R50,2,CHI: um she operates.,F,
