,Nouns_NLTK,Pronoun_NLTK
0,0,1
1,1,0
2,0,1
3,1,0
4,1,1
5,1,0
6,0,1
7,0,0
8,1,1
9,0,1
10,3,1
11,0,0
12,0,0
13,1,2
14,1,0
15,2,0
16,1,0
17,0,0
18,0,0
19,2,0
20,1,0
21,1,0
22,0,0
23,2,1
24,1,0
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,4,1
31,1,0
32,1,0
33,4,0
34,0,0
35,1,0
36,1,0
37,1,0
38,3,1
39,3,0
40,1,0
41,1,0
42,1,0
43,2,0
44,0,2
45,1,1
46,0,1
47,1,1
48,1,1
49,0,1
50,0,1
51,0,1
52,1,0
53,0,1
54,1,0
55,0,1
56,1,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,1,1
65,1,0
66,2,0
67,1,1
68,1,1
69,1,2
70,2,0
71,1,0
72,4,0
73,1,0
74,4,0
75,1,0
76,0,1
77,4,1
78,2,0
79,0,0
80,0,0
81,1,1
82,0,1
83,0,1
84,1,0
85,1,1
86,1,2
87,0,1
88,0,1
89,1,2
90,1,0
91,1,1
92,0,2
93,1,0
94,0,1
95,2,1
96,0,0
97,1,1
98,1,0
99,0,1
100,1,0
101,0,0
102,0,0
103,0,0
104,0,1
105,1,0
106,0,0
107,1,1
108,0,0
109,1,1
110,1,0
111,0,1
112,0,1
113,2,1
114,0,1
115,2,0
116,2,0
117,1,1
118,1,1
119,1,0
120,1,0
121,1,0
122,2,1
123,1,1
124,1,0
125,0,0
126,1,1
127,0,0
128,0,1
129,1,0
130,1,0
131,2,1
132,0,1
133,1,2
134,1,1
135,1,0
136,2,0
137,2,0
138,0,1
139,1,1
140,0,2
141,0,2
142,0,1
143,1,1
144,1,0
145,1,0
146,1,0
147,1,1
148,1,0
149,1,0
150,1,0
151,1,0
152,3,1
153,0,1
154,1,1
155,0,0
156,1,0
157,2,1
158,1,1
159,2,0
160,1,0
161,1,0
162,1,0
163,1,0
164,0,0
165,0,0
166,0,1
167,1,0
168,0,1
169,1,0
170,0,1
171,1,0
172,0,0
173,1,0
174,1,0
175,0,1
176,0,2
177,0,1
178,0,1
179,0,0
180,0,1
181,0,1
182,0,3
183,1,0
184,1,0
185,0,1
186,1,0
187,1,0
188,0,1
189,1,0
190,0,1
191,1,2
192,0,1
193,1,2
194,2,1
195,2,0
196,1,0
197,0,0
198,2,0
199,0,1
200,1,0
201,1,0
202,0,0
203,2,0
204,1,0
205,1,0
206,1,1
207,0,2
208,1,0
209,1,1
210,0,1
211,0,1
212,5,1
213,1,0
214,1,0
215,2,0
216,1,0
217,0,1
218,0,2
219,0,2
220,1,0
221,0,1
222,0,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,0,1
230,0,1
231,0,2
232,0,0
233,0,0
234,0,1
235,0,1
236,1,0
237,1,1
238,1,1
239,0,1
240,0,1
241,1,0
242,1,0
243,2,0
244,2,0
245,2,0
246,0,0
247,0,1
248,0,1
249,1,0
250,1,0
251,2,0
252,2,1
253,1,0
254,2,1
255,1,1
256,1,0
257,1,1
258,1,3
259,1,1
260,1,0
261,1,1
262,1,0
263,0,1
264,1,1
265,2,1
266,1,0
267,1,1
268,0,1
269,1,0
270,2,0
271,0,0
272,1,0
273,1,0
274,1,0
275,1,0
276,1,0
277,1,1
278,2,2
279,0,1
280,0,1
281,0,1
282,1,0
283,2,2
284,1,2
285,1,0
286,1,0
287,0,0
288,1,2
289,1,0
290,1,1
291,1,1
292,2,0
293,2,0
294,0,2
295,0,0
296,1,0
297,1,1
298,0,1
299,1,0
300,3,1
301,1,0
302,0,2
303,0,1
304,1,0
305,1,0
306,0,0
307,1,0
308,2,0
309,0,2
310,1,0
311,1,0
312,0,1
313,1,1
314,1,0
315,2,1
316,1,0
317,2,0
318,1,0
319,0,2
320,1,1
321,2,0
322,2,0
323,0,1
324,2,0
325,2,0
326,1,1
327,0,0
328,1,1
329,1,0
330,5,0
331,0,1
332,0,1
333,0,1
334,2,2
335,0,0
336,2,0
337,1,0
338,1,2
339,1,0
340,2,3
341,1,0
342,1,3
343,2,1
344,1,0
345,0,1
346,0,0
347,0,1
348,1,0
349,0,0
350,1,2
351,0,2
352,1,1
353,1,2
354,1,0
355,1,1
356,1,0
357,3,0
358,2,1
359,1,0
360,1,0
361,2,1
362,1,1
363,1,1
364,1,2
365,1,2
366,0,2
367,2,0
368,1,2
369,2,1
370,0,1
371,2,3
372,2,1
373,1,1
374,1,2
375,2,2
376,1,0
377,0,0
378,1,1
379,2,0
380,1,0
381,1,0
382,0,0
383,1,0
384,1,0
385,0,0
386,1,0
387,0,0
388,0,3
389,1,2
390,1,0
391,0,0
392,1,1
393,1,0
394,2,1
395,1,2
396,1,0
397,0,3
398,0,1
399,1,0
