,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
0,56C-R11,Surfer,,,,
1,56C-R13,1,CHI:        a person surfing.,L+P,,
2,56C-R15,2,CHI:        um surf you surf in the um on the bea- at the beach.,F+L,,
3,56C-R16,3,CHI:        and um when it's really hot in the summer.,F,,['hot']
4,56C-R17,4,"CHI:        and you, and you hold your arms out and then on your surfboard.",P,,
5,56C-R71,King,,,,
6,56C-R73,1,CHI:        I don't want to tell you.,I,,
7,56C-R74,2,CHI:        a king or a queen.,L+T,,
8,56C-R104,Police Officer,,,,
9,56C-R106,1,CHI:        a police officer.,L,,
10,56C-R108,2,CHI:        police officers make sure cars don't run into any other cars.,F+L,,"['sure', 'other']"
11,56C-R120,Weightlifter,,,,
12,56C-R122,1,CHI:        uh a circus [?] strong man.,L,strong,['strong']
13,56C-R130,3,"CHI:        um and, um circus [?] strongmans hold up this bell-bar.",L+P,,
14,56C-R131,4,CHI:        for in order for them to be strong.,F,strong,['strong']
15,56C-R140,Farmer,,,,
16,56C-R143,1,CHI:        it's it's a maid.,L,,
17,56C-R145,2,CHI:        it's a farmer-a f-maid farmer.,L,,
18,56C-R147,3,CHI:        I'm I'm spying her in my her in my telescope.,I,,
19,56C-R151,6,CHI:        uh farmers plant stuff.,F+L,,
20,56C-R152,7,CHI:        and so do maids.,T,,
21,56C-R153,8,CHI:        and maids go out and pick their own food.,T,,['own']
22,56C-R154,9,CHI:        and farmers grow their own food and then pick them.,F+L,,['own']
23,56C-R155,10,"CHI:        that's all I know, about everything.",I,,
24,70C-R1,Clown (B),Speech,,,
25,70C-R3,1,CHI:        a clown.,L,,
26,70C-R5,2,CHI:        uh he wears clothes.,P,,
27,70C-R6,3,CHI:        and he's funny.,F,funny,['funny']
28,70C-R11,4,"CHI:        um, he likes to give people presents.",F,,
29,70C-R13,Witch,,,,
30,70C-R15,1,CHI:        a witch.,L,,
31,70C-R17,2,"CHI:        um, she has a cat.",F,,
32,70C-R19,4,CHI:        and she has a broom to fly on.,P,,
33,70C-R20,5,"CHI:        and, she she's a spooky girl.",F,spooky,['spooky']
34,70C-R43,Pilot,,,,
35,70C-R45,1,"CHI:        mm, I don't know what this is.",I,,
36,70C-R49,3,"CHI:        uh, he's uh getting on.",F,,
37,70C-R50,4,"CHI:        and he, he, and he's the engine.",L,,
38,70C-R51,5,"CHI:        and, he drives the train.",F,,
39,70C-R95,Football Player,,,,
40,70C-R96,1,CHI:        a football player.,L,,
41,70C-R97,2,CHI:        he has a football.,P,,
42,70C-R98,3,"CHI:        and he, and maybe he will win.",F,,
43,70C-R100,Teacher,,,,
44,70C-R102,1,CHI:        a teacher.,L,,
45,70C-R103,2,CHI:        she teaches kids.,F,,
46,22C-R47,Doctor,,,,
47,22C-R48,1,CHI: a doctor.,L,,
48,22C-R50,2,CHI: um she operates.,F,,
49,22C-R53,3,CHI: she helps people.,F,,
50,22C-R54,Painter,,,,
51,22C-R56,1,CHI: an artist.,L,,
52,22C-R58,2,CHI: she paints.,P,,
53,22C-R59,3,CHI: and she always looks at what she's doing.,P,,
54,22C-R76,Baby,,,,
55,22C-R78,1,CHI: a baby.,L,,
56,22C-R80,2,"CHI: he looks just like my ⌈bother⌉, when he was tiny xxx.",I+T+P,tiny,['tiny']
57,22C-R92,Baseball Player,,,,
58,22C-R108,Pirate,,,,
59,29C-R29,Pilot,,,,
60,29C-R31,1,"CHI: mm, a a plane guy.",L,,
61,29C-R34,2,"CHI: and then uh, last night when I was um a baby I went on one to Florida.",I,,['last']
62,29C-R35,3,CHI: and then I fell asleep.,I,,['asleep']
63,29C-R37,4,CHI: and then when I woke up we were there and mommy was just carrying me.,I,,
64,29C-R41,5,"CHI: mm, and then um, and then we land and it make a big sound and I like woke up and then Mom pick me up and then that's when I woke up.",I,,['big']
65,29C-R42,6,CHI: she was holding me.,I,,
66,29C-R44,Teacher,,,,
67,29C-R46,1,CHI: a teacher.,L,,
