Participant ID,Referent,Speech,Feature,Adjectives SpaCy,
4C-R1,Horse,,,,
4C-R1,1,CHI:        a horsey.,L,,
4C-R1,2,CHI:        um they run fast.,F+P,fast,
56C-R19,5,CHI:        nothing.,NA,,
56C-R20,6,CHI:        I- that's all I know about surfboards.,AE(I),,
4C-R1,3,CHI:        and some persons have to be careful.,F,careful,
4C-R1,4,CHI:        and um they have fur on their back and on their tail.,P,P,
56C-R76,3,CHI:        nothing.,NA,,
56C-R82,4,CHI:        nothing.,NA,,
4C-R1,5,CHI:        and some babies ones are like this.,T,P,
4C-R1,6,CHI:        and they have ears.,P,P,
4C-R1,7,CHI:        they don't have xxx.,NA,,
4C-R1,8,CHI:        they have xxx.,NA,,
4C-R1,9,CHI:        and these things on them.,F,,
56C-R124,2,CHI:        nothing.,NA,,
4C-R1,10,CHI:        when people are gonna ride them.,F,,
4C-R1,11,CHI:        &=exhales that's it I know.,I,,
56C-R133,5,CHI:        I'm opening a pizza box.,NA,,
56C-R134,6,"CHI:        an old, an old pizza box.",NA,,
56C-R135,7,CHI:        but some treasure's in.,NA,,
56C-R137,8,CHI:        I'm spying in it right now.,NA,,
4C-R1,Lobster,,,,
56C-R148,4,CHI:        can you see me?,NA,,
56C-R149,5,CHI:        you look really small.,NA,,
4C-R1,1,CHI:        a lobster.,L,,
4C-R1,2,"CHI:        um lobsters like, lobsters do this.",F+L,,
56C-R156,11,CHI:        that's all I +...,NA,,
4C-R1,5,CHI:        they do that.,F,,
4C-R1,6,CHI:        they're very small.,P+I,small,
4C-R1,7,CHI:        and um like their whiskers tickle us.,P+F+I,,
4C-R1,8,CHI:        and their body is kind of like this is &=points:picture.,P,,
4C-R1,9,CHI:        like that.,NA,,
70C-R18,3,CHI:        and I see a bat.,AE(L),,
4C-R1,10,CHI:        and that's it I know.,I,,
70C-R22,6,CHI:        no.,NA,,
70C-R47,2,"CHI:        hm, a train?",AE(L),,
4C-R1,Elephant,,,,
4C-R1,1,CHI:        I know about these.,I,,
4C-R1,2,"CHI:        um well it's an elephant and it squirts water at you when they're, when they're near you.",F+L,,
4C-R1,3,CHI:        well that's it what I know.,I,,
4C-R1,4,CHI:        I did.,NA,,
4C-R1,5,"CHI:        well um that's an, This is an elephant and it s +...",L,,
4C-R1,6,"CHI:        and when they're, When you're by them then, it squirts water at you.",F,,
22C-R61,4,"CHI: and, I know what she's ⌊painting⌋.",I+AE(P),,
22C-R62,5,CHI: a tree.,AE(P),,
4C-R1,Alligator,,,,
4C-R1,1,CHI:        a toad.,T,,
22C-R94,1,CHI: a baseball.,AE(P),,
22C-R96,2,CHI: um this is a bat to hit it when it comes towards him.,AE(P)+F,,
22C-R110,1,CHI: a pirate with treasure.,L+AE(P),,
22C-R112,2,CHI: it has a lock for a chest.,AE(P),,
22C-R113,3,CHI: the chest goes here and then the lock shuts.,AE(P)+AE(F),,
22C-R117,4,CHI: I don't I don't know why pirates always have these patches on their eyes.,I+L+AE(P)+F,,
22C-R119,5,CHI: how come?,NA,,
22C-R121,6,CHI: I'm not sure either.,NA,,
4C-R1,3,CHI:        actually it's an alligator.,L,,
4C-R1,5,"CHI:        um that, um well the alligators try and bite you.",F+L,,
4C-R1,6,CHI:        like dog kind of do.,T+F,,
4C-R1,Penguin,,,,
29C-R76,1,CHI: (be)cause I didn't want to.,NA,,
4C-R1,2,CHI:        um well it it lives +...,F,,
4C-R1,3,CHI:        where does it live?,F,,
4C-R1,4,CHI:        I don't know.,I,,
29C-R85,8,CHI: that's okay if I climb on the furniture you sit on or a bed.,NA,,
4C-R1,5,"CHI:        in a ⌊chilly⌋, In a chilly world.",P+F,chilly,
4C-R1,6,CHI:        I haven't seen a penguin before.,I+L,,
4C-R1,7,CHI:        that's it I don't know more.,NA,,
4C-R1,8,CHI:        that's about it.,NA,,
4C-R1,9,CHI:        I don't know about penguins [= to Zorg].,L,,
29C-R1,Lobster,,,,
29C-R1,1,"CHI: um, a lobster.",L,,
29C-R1,2,"CHI: um, every time my mommy go out in the big part where um a lot of stuff are um I always like to look at the crabs but then I can't see my mom and I try to find but I didn't see her.",I+T,big,
34C-R44,1,CHI: bat.,AE(P),,
34C-R47,3,CHI: &=nods:head_yes.,NA,,
29C-R1,3,"CHI: but last time um, my teacher um, he um wrote a book and then, and then um, uh, and then uh, and then uh, and then we sawed a lobster and then we saw a swordfish and we saw a shark and <a lot> [?] all the animals we're ever going to see.",I+L+T,,
34C-R64,7,CHI: mm-hm [= yes].,NA,,
29C-R1,Horse,,,,
29C-R1,1,CHI: a horsie.,L,,
29C-R1,2,"CHI: last night um, my animal went around looking for a horsie but it didn't, see it.",I+L,,
34C-R129,5,CHI: &=shakes:head_no.,NA,,
29C-R1,3,"CHI: and then um, and then, and then, then last night um, I um I rode a pony when I was three when I was two I mean and then um.",I+L,two,
