,Participant ID,Referent,Speech,Feature,Adjectives SpaCy,Unnamed: 5,Adjectives_Spacy
0,4C-R1,Horse,nan,,,,
1,4C-R1,1,        a horsey.,L,,,
2,4C-R1,2,        um they run fast.,F+P,fast,,
3,56C-R19,5,        nothing.,,,,
4,56C-R20,6,        I- that's all I know about surfboards.,AE(I),,,
5,4C-R1,3,        and some persons have to be careful.,F,careful,,['careful']
6,4C-R1,4,        and um they have fur on their back and on their tail.,P,P,,
7,56C-R76,3,        nothing.,,,,
8,56C-R82,4,        nothing.,,,,
9,4C-R1,5,        and some babies ones are like this.,T,P,,
10,4C-R1,6,        and they have ears.,P,P,,
11,4C-R1,7,        they don't have .,,,,
12,4C-R1,8,        they have .,,,,
13,4C-R1,9,        and these things on them.,F,,,
14,56C-R124,2,        nothing.,,,,
15,4C-R1,10,        when people are gonna ride them.,F,,,
16,4C-R1,11,        exhales that's it I know.,I,,,
17,56C-R133,5,        I'm opening a pizza box.,,,,
18,56C-R134,6,"        an old, an old pizza box.",,,,"['old', 'old']"
19,56C-R135,7,        but some treasure's in.,,,,
20,56C-R137,8,        I'm spying in it right now.,,,,
21,4C-R1,Lobster,nan,,,,
22,56C-R148,4,        can you see me?,,,,
23,56C-R149,5,        you look really small.,,,,['small']
24,4C-R1,1,        a lobster.,L,,,
25,4C-R1,2,"        um lobsters like, lobsters do this.",F+L,,,
26,56C-R156,11,        that's all I +...,,,,
27,4C-R1,5,        they do that.,F,,,
28,4C-R1,6,        they're very small.,P+I,small,,['small']
29,4C-R1,7,        and um like their whiskers tickle us.,P+F+I,,,
30,4C-R1,8,        and their body is kind of like this is pointspicture.,P,,,
31,4C-R1,9,        like that.,,,,
32,70C-R18,3,        and I see a bat.,AE(L),,,
33,4C-R1,10,        and that's it I know.,I,,,
34,70C-R22,6,        no.,,,,
35,70C-R47,2,"        hm, a train?",AE(L),,,
36,4C-R1,Elephant,nan,,,,
37,4C-R1,1,        I know about these.,I,,,
38,4C-R1,2,"        um well it's an elephant and it squirts water at you when they're, when they're near you.",F+L,,,
39,4C-R1,3,        well that's it what I know.,I,,,
40,4C-R1,4,        I did.,,,,
41,4C-R1,5,"        well um that's an, This is an elephant and it s +...",L,,,
42,4C-R1,6,"        and when they're, When you're by them then, it squirts water at you.",F,,,
43,22C-R61,4," and, I know what she's ⌊painting⌋.",I+AE(P),,,
44,22C-R62,5, a tree.,AE(P),,,
45,4C-R1,Alligator,nan,,,,
46,4C-R1,1,        a toad.,T,,,
47,22C-R94,1, a baseball.,AE(P),,,
48,22C-R96,2, um this is a bat to hit it when it comes towards him.,AE(P)+F,,,
49,22C-R110,1, a pirate with treasure.,L+AE(P),,,
50,22C-R112,2, it has a lock for a chest.,AE(P),,,
51,22C-R113,3, the chest goes here and then the lock shuts.,AE(P)+AE(F),,,
52,22C-R117,4, I don't I don't know why pirates always have these patches on their eyes.,I+L+AE(P)+F,,,
53,22C-R119,5, how come?,,,,
54,22C-R121,6, I'm not sure either.,,,,['sure']
55,4C-R1,3,        actually it's an alligator.,L,,,
56,4C-R1,5,"        um that, um well the alligators try and bite you.",F+L,,,
57,4C-R1,6,        like dog kind of do.,T+F,,,
58,4C-R1,Penguin,nan,,,,
59,29C-R76,1, (be)cause I didn't want to.,,,,
60,4C-R1,2,        um well it it lives +...,F,,,
61,4C-R1,3,        where does it live?,F,,,
62,4C-R1,4,        I don't know.,I,,,
63,29C-R85,8, that's okay if I climb on the furniture you sit on or a bed.,,,,['okay']
64,4C-R1,5,"        in a ⌊chilly⌋, In a chilly world.",P+F,chilly,,['chilly']
65,4C-R1,6,        I haven't seen a penguin before.,I+L,,,
66,4C-R1,7,        that's it I don't know more.,,,,['more']
67,4C-R1,8,        that's about it.,,,,
68,4C-R1,9,        I don't know about penguins  to Zorg.,L,,,
69,29C-R1,Lobster,nan,,,,
70,29C-R1,1," um, a lobster.",L,,,
71,29C-R1,2," um, every time my mommy go out in the big part where um a lot of stuff are um I always like to look at the crabs but then I can't see my mom and I try to find but I didn't see her.",I+T,big,,['big']
72,34C-R44,1, bat.,AE(P),,,
73,34C-R47,3, nodsheadyes.,,,,
74,29C-R1,3," but last time um, my teacher um, he um wrote a book and then, and then um, uh, and then uh, and then uh, and then we sawed a lobster and then we saw a swordfish and we saw a shark and <a lot> ? all the animals we're ever going to see.",I+L+T,,,['last']
75,34C-R64,7,   yes.,,,,
76,29C-R1,Horse,nan,,,,
77,29C-R1,1, a horsie.,L,,,
78,29C-R1,2," last night um, my animal went around looking for a horsie but it didn't, see it.",I+L,,,['last']
79,34C-R129,5, shakesheadno.,,,,
80,29C-R1,3," and then um, and then, and then, then last night um, I um I rode a pony when I was three when I was two I mean and then um.",I+L,two,,['last']
81,29C-R1,4, I don't remember that now but.,I+L,,,
82,29C-R1,5, that was a long time ago and I don't remember it.,I+L,,,['long']
83,29C-R1,Alligator,nan,,,,
84,29C-R1,1, a crocodile.,L,,,
85,29C-R1,2, last night my grandpa shot a crocodile.,I+L,last,,['last']
86,34C-R158,4, hm.,,,,
87,29C-R1,3, and then my and then Grandpa had crocodile meat but I don't really eat cuz I don't really like to eat crocodile.,I+L+F,"crocodile
big",,
88,34C-R163,6, shakesheadno.,,,,
89,29C-R1,4," and then um, last time, we went to um and then my mom when her was um three um, um her was fishing and then her caught something and said I think I caught a big fish.",I,three,,"['last', 'big']"
90,29C-R1,5," and then what it was was just a, boot but then a was ? crocodile came out and then her  pull right in the water but then her grandpa got it.",I+L+F,,,
91,29C-R1,6, out of the water.,I+F,,,
92,29C-R1,7, fishing pole.,,,,
93,29C-R1,Elephant,nan,,,,
94,34C-R193,9, <all the things> ?.,,,,
95,34C-R194,10, I think that's it.,,,,
96,29C-R1,1, um a elephant.,L,,,
97,29C-R1,2," last night um when I went to the zoo I saw an elephant but then um, then last night um, we went to the zoo but there was no elephants there.",I+L+F,,,"['last', 'last']"
98,38C-R17,3,        any of those.,,,,
99,29C-R1,3," but last time um, we um, went to one and um, and then um, then um we saw it but I was but and then there was one where baby   animal name is.",I,,,['last']
100,29C-R1,4," mm, and then uh, and then, again last night um I saw a zookeeper riding on it.",I+F,,,['last']
101,38C-R123,3,        I don't know.,,,,
102,29C-R1,5, and last time baby   animal name s being funny (be)cause then her got her trunk like on on a pole and then hers like was kinda like hers like pulling the pole right off.,I+P+F,,,"['last', 'funny']"
103,29C-R1,Penguin,nan,,,,
104,29C-R1,1, a penguin.,L,,,
105,29C-R1,2, last night um I went down in the penguin but it was really dark in there but that's where you can look in windows where the penguins were swimming ? in the water.,I+L+F,,,"['last', 'dark']"
106,45C-R35,4,        um +...,,,,
107,29C-R1,3," and then uh, and then uh, last night, um, I um, saw one and last night one almost flied right out of it.",I,,,"['last', 'last']"
108,45C-R47,3,        probably.,,,,
109,29C-R1,4, they didn't know it was glass and banged his head.,I+F,,,
110,34C-R1,Duck,nan,,,,
111,45C-R57,2,        he has a computer.,AE(P),,,
112,45C-R62,4,"        hm, he has a chair.",AE(P),,,
113,45C-R63,5,"        (be)cause I see a chair peaking out,   over his shoulder.",AE(P),,,
114,34C-R1,1, a duck.,L,,,
115,34C-R1,2," um, um, a duck is likes to swim in the water.",L+F,,,
116,34C-R1,4, when ? they get up they  kinda.,F,,,
117,34C-R1,5, all kinda bird can fly.,T+F,,,['kinda']
118,34C-R1,6, ducks can fly.,F,,,
119,34C-R1,Pig,nan,,,,
120,45C-R213,3,"        I don't, the nine, and that +...",AE(P),,,
121,45C-R214,4,        there's a nine and a one on it.,AE(P),,,
122,45C-R216,5,        so what's that?,,,,
123,45C-R219,6,        ninety-one.,AE(P),,,
124,45C-R223,7,        it's a racecar.,AE(L),,,
125,45C-R225,8,        and the car races.,AE(F),,,
126,34C-R1,2, a pig.,L,,,
127,34C-R1,3, I know lots about this.,I,,,
128,34C-R1,4, um pigs used to live in mud on a farm.,L+F,,,
129,34C-R1,5, and um they they they say oink.,P,,,
130,34C-R1,7, they have four legs.,P,four,,
131,34C-R1,8, and I think that's all I have ? to tell about them.,I,,,
132,34C-R1,Puppy,nan,,,,
133,34C-R1,1, a dog.,L,,,
