,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
0,56C-R11,Surfer,nan,,,
1,56C-R13,1,        a person surfing.,L+P,,
2,56C-R15,2,        um surf you surf in the um on the bea- at the beach.,F+L,,
3,56C-R16,3,        and um when it's really hot in the summer.,F,,['hot']
4,56C-R17,4,"        and you, and you hold your arms out and then on your surfboard.",P,,
5,56C-R71,King,nan,,,
6,56C-R73,1,        I don't want to tell you.,I,,
7,56C-R74,2,        a king or a queen.,L+T,,
8,56C-R104,Police Officer,nan,,,
9,56C-R106,1,        a police officer.,L,,
10,56C-R108,2,        police officers make sure cars don't run into any other cars.,F+L,,"['sure', 'other']"
11,56C-R120,Weightlifter,nan,,,
12,56C-R122,1,        uh a circus ? strong man.,L,strong,['strong']
13,56C-R130,3,"        um and, um circus ? strongmans hold up this bell-bar.",L+P,,
14,56C-R131,4,        for in order for them to be strong.,F,strong,['strong']
15,56C-R140,Farmer,nan,,,
16,56C-R143,1,        it's it's a maid.,L,,
17,56C-R145,2,        it's a farmer-a f-maid farmer.,L,,
18,56C-R147,3,        I'm I'm spying her in my her in my telescope.,I,,
19,56C-R151,6,        uh farmers plant stuff.,F+L,,
20,56C-R152,7,        and so do maids.,T,,
21,56C-R153,8,        and maids go out and pick their own food.,T,,['own']
22,56C-R154,9,        and farmers grow their own food and then pick them.,F+L,,['own']
23,56C-R155,10,"        that's all I know, about everything.",I,,
24,70C-R1,Clown (B),Speech,,,
25,70C-R3,1,        a clown.,L,,
26,70C-R5,2,        uh he wears clothes.,P,,
27,70C-R6,3,        and he's funny.,F,funny,['funny']
28,70C-R11,4,"        um, he likes to give people presents.",F,,
29,70C-R13,Witch,nan,,,
30,70C-R15,1,        a witch.,L,,
31,70C-R17,2,"        um, she has a cat.",F,,
32,70C-R19,4,        and she has a broom to fly on.,P,,
33,70C-R20,5,"        and, she she's a spooky girl.",F,spooky,['spooky']
34,70C-R43,Pilot,nan,,,
35,70C-R45,1,"        mm, I don't know what this is.",I,,
36,70C-R49,3,"        uh, he's uh getting on.",F,,
